LAT	LNG	towerlat	towerlon	NAME	CAPACITY	LANGUAGES
42.507675	1.5338701	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506977	1.5297953	42.50777	1.5325	Voronoi	100	"CA,ES,FR"
42.50688	1.5336013	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.50796	1.5331553	42.50777	1.5325	Voronoi	100	"CA,ES,FR"
42.50646	1.5350403	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506336	1.5310773	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506485	1.5342582	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507008	1.5298293	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506496	1.5336703	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.509407	1.5340514	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.508114	1.5347512	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.5072	1.5350783	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507717	1.5337641	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.505802	1.5329704	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507645	1.5295413	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506157	1.5312084	42.50777	1.5325	Voronoi	100	"CA,ES,FR"
42.508728	1.5324672	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507786	1.5323694	42.50777	1.5325	Voronoi	100	"CA,ES,EN"
42.5055	1.5347832	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506405	1.5324123	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507046	1.5339693	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.50799	1.5316286	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.5085	1.5316563	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507607	1.5327564	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507607	1.5327562	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506218	1.5323663	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.508274	1.5311543	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.509193	1.5334972	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.50725	1.5291964	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507336	1.5312483	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507088	1.5343274	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507378	1.5302124	42.50777	1.5325	Voronoi	100	"CA,ES,FR"
42.50686	1.5342152	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507088	1.5298753	42.50777	1.5325	Voronoi	100	"CA,ES,FR"
42.50687	1.5335582	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.50855	1.5298382	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.50638	1.5342041	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.508347	1.5315654	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.50613	1.5328841	42.50777	1.5325	Voronoi	100	"ES,FR,BE,EN,RU,PT,NE,GE"
42.505993	1.5330753	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.509342	1.5338672	42.50777	1.5325	Voronoi	100	"CA,ES,FR"
42.508347	1.5315113	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506786	1.5332283	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507675	1.5338701	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506977	1.5297953	42.50777	1.5325	Voronoi	100	"CA,ES,FR"
42.50688	1.5336013	42.50777	1.5325	Voronoi	100	"CA,ES,EN"
42.50796	1.5331553	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.50646	1.5350403	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506336	1.5310773	42.50777	1.5325	Voronoi	100	"ES,FR,BE,EN,RU,PT,NE,GE"
42.506485	1.5342582	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507008	1.5298293	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.506496	1.5336703	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.509407	1.5340514	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.508114	1.5347512	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.5072	1.5350783	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507717	1.5337641	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.505802	1.5329704	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507645	1.5295413	42.50777	1.5325	Voronoi	100	"CA,ES"
42.506157	1.5312084	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.508728	1.5324672	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.507786	1.5323694	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
42.5055	1.5347832	42.50777	1.5325	Voronoi	100	"CA,ES,FR,EN"
